ind,pop,reg,sst_max,sst_min,sal_max,sal_min,sal_mean,cur_vel_max,cur_vel_min,cur_vel_mean,chl_max,chl_min,chl_mean,diss_ox_max,diss_ox_min,diss_ox_mean,pH
SYD_1,A1,e_aus,24.82252,15.57178,35.69101,35.29402,35.53240204,0.2741984,0.73177403,0.201048553,1.239,0.317,0.613,243.9466705,211.3474426,224.640274,8.312000275
SYD_10,A1,e_aus,24.82252,15.57178,35.69101,35.29402,35.53240204,0.2741984,0.73177403,0.201048553,1.239,0.317,0.613,243.9466705,211.3474426,224.640274,8.312000275
SYD_11,A1,e_aus,24.82252,15.57178,35.69101,35.29402,35.53240204,0.2741984,0.73177403,0.201048553,1.239,0.317,0.613,243.9466705,211.3474426,224.640274,8.312000275
SYD_12,A1,e_aus,24.82252,15.57178,35.69101,35.29402,35.53240204,0.2741984,0.73177403,0.201048553,1.239,0.317,0.613,243.9466705,211.3474426,224.640274,8.312000275
SYD_13,A1,e_aus,24.82252,15.57178,35.69101,35.29402,35.53240204,0.2741984,0.73177403,0.201048553,1.239,0.317,0.613,243.9466705,211.3474426,224.640274,8.312000275
SYD_16,A1,e_aus,24.82252,15.57178,35.69101,35.29402,35.53240204,0.2741984,0.73177403,0.201048553,1.239,0.317,0.613,243.9466705,211.3474426,224.640274,8.312000275
SYD_18,A1,e_aus,24.82252,15.57178,35.69101,35.29402,35.53240204,0.2741984,0.73177403,0.201048553,1.239,0.317,0.613,243.9466705,211.3474426,224.640274,8.312000275
SYD_19,A1,e_aus,24.82252,15.57178,35.69101,35.29402,35.53240204,0.2741984,0.73177403,0.201048553,1.239,0.317,0.613,243.9466705,211.3474426,224.640274,8.312000275
SYD_2,A1,e_aus,24.82252,15.57178,35.69101,35.29402,35.53240204,0.2741984,0.73177403,0.201048553,1.239,0.317,0.613,243.9466705,211.3474426,224.640274,8.312000275
SYD_3,A1,e_aus,24.82252,15.57178,35.69101,35.29402,35.53240204,0.2741984,0.73177403,0.201048553,1.239,0.317,0.613,243.9466705,211.3474426,224.640274,8.312000275
